,科目名,トピック分布
284,国際コミュニケーション演習Ａ,"[0.033856317, 0.03345439, 0.0336079, 0.83174604, 0.033686604, 0.033648778]"
285,国際コミュニケーション演習Ａ,"[0.15467969, 0.01191493, 0.012090471, 0.011915632, 0.012010633, 0.7973886]"
286,イタリア語入門１,"[0.023966065, 0.024199687, 0.8795158, 0.023975702, 0.024181426, 0.024161307]"
287,北アジア歴史社会論Ａ,"[0.96010613, 0, 0, 0, 0, 0]"
288,比較政治社会論Ａ,"[0, 0, 0.8946972, 0, 0, 0.08664637]"
289,グローバルコミュニケーション基礎演習Ｃ,"[0.123424575, 0, 0, 0, 0.26243395, 0.5960879]"
290,加齢の身体運動科学１,"[0, 0, 0, 0.9760752, 0, 0]"
291,家族の発達と病理１,"[0.016690087, 0.91639, 0.016698016, 0.016739639, 0.016782727, 0.016699573]"
292,民族音楽演奏演習１,"[0.020856395, 0.020859785, 0.020856703, 0.020892391, 0.020925302, 0.89560944]"
293,初等図工科教育論１,"[0.012954699, 0.34806195, 0.1647793, 0.012996114, 0.012909837, 0.4482981]"
294,ソーシャルエンパワメント論,"[0, 0, 0, 0.97102666, 0, 0]"
295,国際コミュニケーション演習Ｂ,"[0.033810087, 0.033454295, 0.03360765, 0.8317933, 0.033686224, 0.033648454]"
296,国際コミュニケーション演習Ｂ,"[0.1546124, 0.011914931, 0.012090478, 0.011915633, 0.01201067, 0.7974559]"
297,イタリア語入門３,"[0.02396606, 0.024197983, 0.87951756, 0.023975696, 0.024181407, 0.02416129]"
298,北アジア歴史社会論Ｂ,"[0.9601043, 0, 0, 0, 0, 0]"
299,比較政治社会論Ｂ,"[0, 0, 0.9832307, 0, 0, 0]"
300,グローバルコミュニケーション基礎演習Ｄ,"[0.05493868, 0, 0.2379572, 0, 0.14611076, 0.55315393]"
301,加齢の身体運動科学２,"[0, 0, 0, 0.9760752, 0, 0]"
302,家族の発達と病理２,"[0.01669093, 0.91656595, 0.016678475, 0.016686177, 0.016696952, 0.016681498]"
303,民族音楽演奏演習２,"[0.020856397, 0.020859787, 0.020856705, 0.02089229, 0.0209287, 0.8956061]"
304,初等図工科教育論２,"[0.012091669, 0.57566893, 0.0119742695, 0.37610668, 0.012095269, 0.012063146]"
305,ＴＯＥＦＬ演習Ａ,"[0, 0, 0, 0, 0.98647535, 0]"
306,非言語コミュニケーション論１,"[0, 0.061020084, 0, 0.18823132, 0.7392514, 0]"
307,Aspects of EU Culture and Society (Seminar) A,"[0.9592214, 0, 0.032750383, 0, 0, 0]"
308,グローバルコミュニケーション発展演習Ａ,"[0, 0, 0, 0.9557389, 0, 0]"
309,エスノミュージコロジー１,"[0, 0, 0, 0, 0.97604626, 0]"
310,心の発達と教育１,"[0.01391006, 0.93032205, 0.013904045, 0.013962297, 0.013959517, 0.013942013]"
311,心の発達と教育１（学習・言語心理学１）,"[0.013910061, 0.93032014, 0.013904047, 0.013960219, 0.013963058, 0.013942508]"
312,心理学統計法Ｂ１,"[0.011965814, 0.012055501, 0.6370533, 0.012032287, 0.31490836, 0.011984726]"
313,都市と建築の20世紀１,"[0.027829863, 0.027829431, 0.027853897, 0.8607466, 0.027809465, 0.027930703]"
314,数理科学入門（代数系）,"[0, 0, 0, 0.96195674, 0, 0]"
315,人文地理学,"[0.0185973, 0.16353922, 0.36501977, 0.4154834, 0.018649736, 0.018710624]"
316,発達心理学（幼・小）１,"[0, 0.35677302, 0, 0, 0.6095298, 0]"
317,言語発達と教育１,"[0.015195312, 0.015276963, 0.01523212, 0.9237132, 0.015312708, 0.015269677]"
318,幼児心理学演習１,"[0, 0.9534512, 0, 0, 0, 0]"
319,ＴＯＥＦＬ演習Ｂ,"[0, 0, 0, 0, 0.98647517, 0]"
320,非言語コミュニケーション論２,"[0, 0.181528, 0.80523163, 0, 0, 0]"
321,Aspects of EU Culture and Society (Seminar) B,"[0.9592302, 0, 0.032741666, 0, 0, 0]"
322,グローバル文化形成発展演習Ｂ,"[0.027831191, 0.02786317, 0.027880061, 0.028051335, 0.86047375, 0.027900511]"
323,グローバルコミュニケーション発展演習Ｂ,"[0, 0.51647955, 0, 0, 0.44988486, 0]"
324,エスノミュージコロジー２,"[0, 0, 0, 0, 0.976046, 0]"
325,心の発達と教育２,"[0.013910053, 0.9303271, 0.013904042, 0.0139588285, 0.013958344, 0.013941577]"
326,心の発達と教育２（教育・学校心理学１）,"[0.013910061, 0.9303197, 0.013904047, 0.013959474, 0.0139643885, 0.013942271]"
327,心理学統計法Ｂ２,"[0.011965811, 0.012056317, 0.6371521, 0.012032292, 0.31480876, 0.011984727]"
328,都市と建築の20世紀２,"[0.027812645, 0.02791106, 0.027882636, 0.8605725, 0.027832873, 0.02798828]"
329,法律学,"[0.6168539, 0, 0, 0.2436189, 0.109830916, 0]"
330,発達心理学（幼・小）２,"[0, 0.356797, 0, 0, 0.6095058, 0]"
331,言語発達と教育２,"[0, 0, 0.2918347, 0.38400957, 0, 0.2960216]"
332,幼児心理学演習２,"[0, 0.95345914, 0, 0, 0, 0]"
333,身体表現論１,"[0, 0, 0, 0, 0, 0.96780545]"
334,身体表現論２,"[0, 0, 0, 0, 0, 0.9678046]"
335,情報発信演習１,"[0, 0, 0, 0, 0, 0.9737475]"
336,グローバル社会動態基礎演習Ｃ,"[0.015195898, 0.01534518, 0.015249691, 0.19635162, 0.01536824, 0.7424894]"
337,心理面接論１,"[0.013016896, 0.013058734, 0.012947375, 0.0130433105, 0.012998089, 0.9349356]"
338,初等国語論１,"[0.014007972, 0.013974803, 0.014237817, 0.47533196, 0.014043967, 0.4684035]"
339,情報発信演習２,"[0, 0, 0, 0, 0, 0.9737492]"
340,グローバル社会動態基礎演習Ｄ,"[0.015195897, 0.015345179, 0.015249691, 0.19639021, 0.015368238, 0.74245083]"
341,心理面接論２,"[0.013016703, 0.013058724, 0.012947372, 0.013041809, 0.012998084, 0.9349373]"
342,初等国語論２,"[0.014007969, 0.013974804, 0.014237866, 0.47535354, 0.01404397, 0.46838182]"
343,社会教育計画論１,"[0.010548422, 0.20456092, 0.5419531, 0.22177549, 0.010630359, 0.0105317505]"
344,運動とこころの科学１,"[0, 0, 0, 0.06209995, 0.92607576, 0]"
345,保育内容研究（造形表現）１,"[0.021002382, 0.390103, 0.02092797, 0.021164568, 0.02115291, 0.5256492]"
346,情報リテラシー演習２,"[0, 0, 0, 0.958093, 0, 0]"
347,社会教育計画論２,"[0.6453412, 0.015261795, 0.015338765, 0.29349515, 0.015270871, 0.015292172]"
348,運動とこころの科学２,"[0, 0.15698142, 0, 0.05948262, 0.7752599, 0]"
349,環境物質科学Ｂ,"[0, 0.20566888, 0, 0.09819599, 0.67511773, 0]"
350,保育内容研究（造形表現）２,"[0.021034412, 0.021170171, 0.020918129, 0.021198703, 0.021034563, 0.894644]"
351,Lectures on Social Dynamics,"[0.33370212, 0, 0.017087927, 0.6422497, 0, 0]"
352,保育内容研究（環境）２,"[0, 0.49387348, 0, 0.17728266, 0.32069615, 0]"
353,Academic Writing（独）Ａ,"[0.011209536, 0.011253431, 0.011229493, 0.9439092, 0.011214151, 0.011184165]"
354,プログラミング基礎演習１,"[0.01691381, 0.56877935, 0.016792506, 0.016905408, 0.36381328, 0.016795581]"
355,日本文化交流論Ａ,"[0, 0, 0, 0, 0.9506049, 0]"
356,東欧・ロシア社会文化論Ａ,"[0, 0.9799571, 0, 0, 0, 0]"
357,近現代モード論Ａ,"[0, 0, 0.7919892, 0.19076966, 0, 0]"
358,文化混交論１,"[0.016848726, 0.016780011, 0.016829092, 0.016912479, 0.91579646, 0.0168332]"
359,音声コミュニケーション論１,"[0.034624655, 0.033371866, 0.03365877, 0.03344735, 0.033543177, 0.83135414]"
360,健康心理学１,"[0.18222733, 0.22875232, 0.013980453, 0.014042114, 0.54698133, 0.014016444]"
361,絵画アート論１,"[0, 0, 0.596837, 0.10047232, 0, 0.28169864]"
362,ミュージックセオリー＆アナリシス１,"[0, 0, 0.3849154, 0, 0.18661511, 0.39869955]"
363,加齢の健康行動科学１,"[0, 0.18408154, 0, 0, 0.78793937, 0]"
364,宇宙環境物理学,"[0, 0.30993712, 0, 0, 0.65280163, 0]"
365,初等体育科教育論１,"[0, 0, 0, 0.7963288, 0.1743499, 0]"
366,教師入門１,"[0, 0.42027932, 0, 0.37921572, 0, 0.183107]"
367,Academic Writing（独）Ｂ,"[0.011209527, 0.011253396, 0.0112258885, 0.9439129, 0.01121414, 0.011184159]"
368,プログラミング基礎演習２,"[0.012111489, 0.012085969, 0.012084335, 0.012015173, 0.22026819, 0.7314349]"
369,日本文化交流論Ｂ,"[0, 0, 0, 0, 0.95049053, 0]"
370,東欧・ロシア社会文化論Ｂ,"[0, 0.9799569, 0, 0, 0, 0]"
371,近現代モード論Ｂ,"[0, 0, 0.7730222, 0.20881432, 0, 0]"
372,文化混交論２,"[0.016848736, 0.016780013, 0.016829098, 0.016915081, 0.9157939, 0.016833205]"
373,音声コミュニケーション論２,"[0.03461029, 0.033371866, 0.033658758, 0.033447348, 0.033543173, 0.83136857]"
374,健康心理学２,"[0.011983471, 0.012064577, 0.011951494, 0.7877147, 0.16424888, 0.012036893]"
375,絵画アート論２,"[0, 0, 0.6653114, 0.08437741, 0, 0.22926761]"
376,ミュージックセオリー＆アナリシス２,"[0.010180137, 0, 0.49271324, 0.46746635, 0, 0]"
377,加齢の健康行動科学２,"[0, 0.18409036, 0, 0, 0.78793055, 0]"
378,初等体育科教育論２,"[0, 0, 0, 0.36043528, 0.600049, 0]"
379,教師入門２,"[0, 0.9578877, 0, 0, 0, 0]"
380,Academic Communication（仏）Ａ,"[0.23895511, 0.7255986, 0, 0, 0, 0]"
381,保健体育科教育論Ａ１,"[0, 0, 0.07822082, 0.22726671, 0.6776406, 0]"
382,グローバル文化形成基礎演習Ｃ,"[0.03348956, 0.033356603, 0.03356636, 0.033521354, 0.033447403, 0.8326188]"
383,シアトリカル・アート論１,"[0.011997229, 0.011941963, 0.0120508345, 0.011992564, 0.41721898, 0.53479844]"
384,統計的問題解決法,"[0.31557584, 0, 0.6611434, 0, 0, 0]"
385,環境経済学,"[0, 0.20803168, 0.45030966, 0.16649641, 0, 0.16268457]"
386,初等カリキュラム論１,"[0.016718304, 0.9157419, 0.016760483, 0.017049417, 0.016828425, 0.01690145]"
387,Academic Communication（仏）Ｂ,"[0.23896977, 0.7255839, 0, 0, 0, 0]"
388,保健体育科教育論Ａ２,"[0, 0, 0, 0.21679203, 0.74964553, 0]"
389,グローバル文化形成基礎演習Ｄ,"[0, 0, 0, 0, 0.08879499, 0.887203]"
390,シアトリカル・アート論２,"[0.0119972285, 0.011941963, 0.012050543, 0.0119925635, 0.4172202, 0.5347975]"
391,数理科学入門（統計系）,"[0.012892456, 0.93562216, 0.012909041, 0.012854812, 0.012858632, 0.012862896]"
392,衣環境論,"[0.20882893, 0.2920898, 0.010610144, 0.010529342, 0.27334183, 0.2046]"
393,初等カリキュラム論２,"[0.016718296, 0.91575396, 0.016760472, 0.017036248, 0.016828401, 0.016902586]"
394,Academic Writing（仏）Ａ,"[0.23887672, 0.72567695, 0, 0, 0, 0]"
395,日本思想文化論Ａ,"[0.023869352, 0.024065113, 0.023949519, 0.024387645, 0.87956554, 0.024162846]"
396,言語機能論１,"[0, 0.6345197, 0.13643341, 0.07607511, 0, 0.14703974]"
397,グローバル文化形成発展演習Ａ,"[0, 0, 0, 0, 0.08881939, 0.88717854]"
398,加齢の社会心理学１,"[0, 0.705537, 0, 0.26390192, 0, 0]"
399,環境政策論,"[0.26162276, 0.028327089, 0.028121833, 0.6258654, 0.028037941, 0.02802501]"
400,地域復興政策論,"[0.20530273, 0.04460517, 0.12260403, 0.043735236, 0.3933489, 0.19040394]"
401,障害とリハビリテーション,"[0.0152493715, 0.41450334, 0.0152116865, 0.015296466, 0.5243912, 0.015347965]"
402,Academic Writing（仏）Ｂ,"[0.23888679, 0.7256669, 0, 0, 0, 0]"
403,日本思想文化論Ｂ,"[0.023872389, 0.024096936, 0.023978703, 0.024213856, 0.8795553, 0.024282834]"
404,言語機能論２,"[0.04325687, 0.73276746, 0.06108417, 0.1573636, 0, 0]"
405,グローバル文化形成発展演習Ｂ,"[0, 0, 0, 0, 0.088788316, 0.8872096]"
406,加齢の社会心理学２,"[0, 0.42653045, 0.33710876, 0.11753231, 0, 0.11019584]"
407,生物多様性科学,"[0, 0.35650045, 0.36960578, 0, 0.25636277, 0]"
408,労働環境史,"[0.018565912, 0.018747183, 0.01871127, 0.018686833, 0.018638363, 0.9066504]"
409,Academic Communication（仏）Ａ,"[0.23889078, 0.72566295, 0, 0, 0, 0]"
410,アメリカ社会論Ａ,"[0, 0, 0, 0, 0, 0.9663022]"
411,視覚文化論Ａ,"[0.013954224, 0.013953952, 0.014117539, 0.013977281, 0.013966034, 0.930031]"
412,グローバル社会動態基礎演習Ｃ,"[0, 0, 0.50066864, 0.26891187, 0.21985412, 0]"
413,スポーツプロモーション論１,"[0, 0, 0, 0, 0.298696, 0.67538697]"
414,生理心理学１,"[0.017009752, 0.4836251, 0.016752413, 0.016815655, 0.44882494, 0.016972143]"
415,計算機科学入門,"[0, 0, 0, 0.9651129, 0, 0]"
416,教職論（小）１,"[0.81504136, 0.14223161, 0, 0, 0, 0.031727348]"
417,初等英語論１,"[0, 0.23434635, 0, 0.2775408, 0.46704242, 0]"
418,Academic Communication（仏）Ｂ,"[0.23898974, 0.7255639, 0, 0, 0, 0]"
419,アメリカ社会論Ｂ,"[0, 0, 0.70806974, 0, 0, 0.26501605]"
420,視覚文化論Ｂ,"[0.01395422, 0.013953947, 0.0141126895, 0.013977275, 0.01396603, 0.9300358]"
421,グローバル社会動態基礎演習Ｄ,"[0, 0.08558473, 0.01101683, 0.7161057, 0, 0.17904678]"
422,スポーツプロモーション論２,"[0, 0, 0, 0, 0.29781085, 0.6762722]"
423,数理モデルプログラミング,"[0, 0, 0, 0.965071, 0, 0]"
424,教職論（小）２,"[0.8377592, 0, 0, 0, 0, 0.14756547]"
425,初等英語論２,"[0, 0.16745341, 0, 0, 0.8019007, 0]"
426,国際関係論Ａ,"[0, 0.032327175, 0.44885013, 0, 0.5099458, 0]"
427,第二言語習得論１,"[0, 0.24852471, 0, 0.66118115, 0, 0.08040089]"
428,宗教文化論１,"[0.29230732, 0.36334485, 0, 0, 0, 0.33333877]"
429,グローバル文化形成発展演習Ａ,"[0.02388469, 0.28044966, 0.02395091, 0.023968589, 0.33632353, 0.31142265]"
430,グローバル文化形成発展演習Ａ,"[0.041958205, 0.041960236, 0.041992545, 0.04200263, 0.7902459, 0.04184049]"
431,グローバル社会動態発展演習Ａ,"[0.016769845, 0.37948748, 0.5534414, 0.0167748, 0.01675429, 0.016772192]"
432,グローバルコミュニケーション発展演習Ａ,"[0, 0.27692896, 0, 0, 0, 0.6981536]"
433,コミュニティ・ジェンダー論１,"[0.4027291, 0, 0.1579748, 0, 0.20668009, 0.21387862]"
434,からだの構造と機能１,"[0.82970136, 0.034550264, 0.033619218, 0.033603083, 0.034721043, 0.03380507]"
435,からだの構造と機能１（人体の構造と機能及び疾病１）,"[0.82974637, 0.034544986, 0.033619173, 0.033603042, 0.03468693, 0.03379951]"
436,人とアート論１,"[0.04228535, 0.04199723, 0.042376295, 0.04179547, 0.78953284, 0.04201283]"
437,コンテンポラリーダンス１,"[0, 0.18922119, 0.5414637, 0, 0, 0.24823432]"
438,教育経営学（幼・小）１,"[0, 0, 0, 0.9799531, 0, 0]"
439,初等生活科教育論１,"[0, 0, 0, 0.5785925, 0.38930136, 0]"
440,保育内容研究（児童文化と言葉）１,"[0, 0, 0, 0.95340663, 0, 0]"
441,国際関係論Ｂ,"[0, 0.032309573, 0.44885322, 0, 0.50996023, 0]"
442,第二言語習得論２,"[0, 0.24852636, 0, 0.6611906, 0, 0.08038973]"
443,宗教文化論２,"[0, 0.39763972, 0.5790415, 0, 0, 0]"
444,グローバル文化形成発展演習Ｂ,"[0.041958075, 0.04196086, 0.041991536, 0.04200229, 0.7902467, 0.041840486]"
445,グローバル社会動態発展演習Ｂ,"[0.43285516, 0, 0.21519318, 0.11190353, 0, 0.23162556]"
446,コミュニティ・ジェンダー論２,"[0.11903299, 0, 0, 0.709434, 0, 0.1462594]"
447,からだの構造と機能２,"[0.8296562, 0.03454557, 0.03361927, 0.033603135, 0.03476333, 0.033812538]"
448,からだの構造と機能２（人体の構造と機能及び疾病２）,"[0.8297127, 0.034556367, 0.033619273, 0.033603135, 0.034692135, 0.03381637]"
449,人とアート論２,"[0.03345017, 0.03346474, 0.03342805, 0.033466525, 0.03356507, 0.8326254]"
450,コンテンポラリーダンス２,"[0, 0.18921529, 0.54147077, 0, 0, 0.24823315]"
451,教育経営学（幼・小）２,"[0.049129456, 0, 0, 0.93157357, 0, 0]"
452,初等生活科教育論２,"[0, 0, 0, 0.5540448, 0.41222236, 0]"
453,保育内容研究（児童文化と言葉）２,"[0, 0, 0, 0.95340914, 0, 0]"
454,教育行政学（中・高）１,"[0.013966049, 0.014141843, 0.014000107, 0.9298998, 0.013952934, 0.014039225]"
455,教育行政学（中・高）２,"[0.013966046, 0.01413855, 0.014000104, 0.92990315, 0.013952933, 0.014039218]"
456,家庭科教育論Ｃ１,"[0.5515511, 0, 0, 0, 0.43062437, 0]"
457,数学科教育論Ｂ１,"[0, 0, 0.11617561, 0.44397062, 0.4235755, 0]"
458,比較文化論１,"[0.011992417, 0.14434038, 0.012021927, 0.012008655, 0.012055926, 0.80758065]"
459,初等教育方法学１,"[0.02798485, 0.028107252, 0.02791152, 0.028024197, 0.028010266, 0.8599619]"
460,数学科教育論Ｂ２,"[0, 0, 0.5510765, 0.1309268, 0.29995584, 0]"
461,家庭科教育論Ｃ２,"[0.3880511, 0, 0, 0, 0.54776704, 0.04891931]"
462,比較文化論２,"[0.0128988875, 0.19629166, 0.012961003, 0.012896616, 0.46344733, 0.3015045]"
463,初等教育方法学２,"[0.013953579, 0.5808033, 0.013951684, 0.2422487, 0.014025047, 0.13501772]"
464,数理科学基礎,"[0, 0.3191088, 0, 0.6627259, 0, 0]"
465,数理科学入門（幾何系）,"[0, 0, 0, 0.9678147, 0, 0]"
466,数理科学入門（解析系）,"[0.013893566, 0.013911961, 0.93041, 0.013922531, 0.013958471, 0.013903426]"
467,数理科学入門（代数系）,"[0, 0, 0, 0.9619555, 0, 0]"
468,イタリア語入門２,"[0.02396606, 0.02419763, 0.8795179, 0.023975696, 0.024181405, 0.024161289]"
469,日本語コミュニケーション１,"[0.01521117, 0.23168479, 0.015247727, 0.01534725, 0.7072944, 0.015214657]"
470,日本社会文化論Ａ,"[0.015329732, 0.015233536, 0.6496201, 0.015373053, 0.28904736, 0.015396172]"
471,文化人類学１,"[0, 0.123709075, 0.16584781, 0, 0, 0.696677]"
472,知覚と行為１,"[0.3953756, 0.17119196, 0.23748896, 0.18959351, 0, 0]"
473,保育原理（世界と日本の乳幼児教育）１,"[0.016787922, 0.91581875, 0.01678525, 0.016906634, 0.016781589, 0.016919887]"
474,日本教育史１,"[0.3108845, 0.64678246, 0.010585088, 0.010559055, 0.010544531, 0.010644357]"
475,イタリア語入門４,"[0.013969386, 0.014077374, 0.5660279, 0.014064639, 0.37787762, 0.013983118]"
476,日本語コミュニケーション２,"[0.015211166, 0.23170705, 0.0152477175, 0.015347476, 0.7072719, 0.0152146565]"
477,日本社会文化論Ｂ,"[0.015329752, 0.015233542, 0.6495522, 0.015373047, 0.2891153, 0.015396159]"
478,文化人類学２,"[0, 0, 0.15780303, 0.8234311, 0, 0]"
479,知覚と行為２,"[0.39550284, 0.17135866, 0.23734827, 0.18944028, 0, 0]"
480,グローバル都市地域論,"[0.21810238, 0.02094756, 0.021083638, 0.021157721, 0.021102218, 0.6976065]"
481,保育原理（世界と日本の乳幼児教育）２,"[0, 0, 0, 0.29155704, 0, 0.6748264]"
482,日本教育史２,"[0, 0.44559184, 0.3152412, 0, 0, 0.21256617]"
483,フィールドワーク基礎論,"[0.7871075, 0, 0.060199015, 0.13860537, 0, 0]"
484,異文化間教育論１,"[0, 0, 0, 0.51830286, 0, 0.4585408]"
485,翻訳コミュニケーション論１,"[0.0104887895, 0.010460254, 0.010535289, 0.010485587, 0.010496776, 0.9475333]"
486,身体運動の文化史１,"[0, 0, 0, 0, 0.70219225, 0.27794284]"
487,環境生命科学Ｂ,"[0, 0.18617703, 0, 0.05646711, 0.7458923, 0]"
488,グローバル平和論,"[0, 0, 0, 0, 0, 0.9648639]"
489,初等算数論１,"[0, 0, 0, 0.492566, 0.48145482, 0]"
490,初等理科論１,"[0.016773801, 0.24827541, 0.016775087, 0.016822267, 0.6845381, 0.016815327]"
491,グローバル平和論（高度教養科目）,"[0, 0, 0, 0, 0, 0.9648637]"
492,異文化間教育論２,"[0, 0, 0, 0, 0, 0.9532822]"
493,翻訳コミュニケーション論２,"[0.010488825, 0.0104602575, 0.010539748, 0.010485637, 0.010496812, 0.9475287]"
494,身体運動の文化史２,"[0, 0, 0.073615305, 0, 0.6595371, 0.25242206]"
495,環境無機化学,"[0.015213092, 0.75571847, 0.01522156, 0.015198849, 0.18340999, 0.015237999]"
496,初等算数論２,"[0, 0, 0, 0.4279092, 0.5470515, 0]"
497,初等理科論２,"[0.015239004, 0.33574414, 0.0152594885, 0.21170647, 0.40676942, 0.015281398]"
498,Academic Communication（独）Ａ,"[0.011209547, 0.0112538, 0.011233232, 0.94390506, 0.01121419, 0.011184173]"
499,比較民族学１,"[0, 0, 0.6089241, 0.11683805, 0, 0.2532078]"
500,データマネージメント１,"[0, 0, 0, 0.6210068, 0.35654134, 0]"
501,グローバル文化形成基礎演習Ｃ,"[0, 0.59439516, 0, 0.37193313, 0, 0]"
502,身体機能の適応１,"[0, 0.06356825, 0, 0.7521388, 0, 0.16629206]"
503,児童の発達と学習１,"[0, 0.9505255, 0, 0, 0, 0]"
504,保育内容研究（環境）１,"[0.29982376, 0.53846294, 0, 0.024874879, 0.12688713, 0]"
505,Academic Communication（独）Ｂ,"[0.011209528, 0.011253422, 0.011225768, 0.943913, 0.011214144, 0.01118416]"
506,比較民族学２,"[0, 0, 0.60766715, 0.11688042, 0, 0.25442246]"
507,データマネージメント２,"[0, 0, 0, 0.9504373, 0, 0]"
508,日本語・日本事情演習,"[0, 0.13971789, 0.8265104, 0, 0, 0]"
